trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.5, 'e': 0.21976355758743915}",20,9,-3.4597832859777427,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21536828643569036}",20,11,15.486411874252056,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",20,14,8.528996298879646,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.20683970229283702}",25,2,23.58242356203851,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20270290824698028}",20,8,14.08243635916925,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.19864885008204067}",20,9,17.830325995066257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19467587308039985}",20,0,8.212150684869567,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.19078235561879187}",20,14,8.921947115024814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.18696670850641603}",30,17,-1.024179672246591,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18322737433628772}",20,8,13.593553703039067,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.17956282684956196}",25,16,-4.821761711049853,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.1759715703125707}",20,13,6.997934627142521,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.1724521389063193}",30,4,31.19686715249741,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.16900309612819292}",20,12,14.741620343520587,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
